,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Louisiana,30,9,21,0.3,-10.88,-4.85,7,11,7,7,2,14,2013,2180,,,,0.359,0.286,0.498,50.9,47.2,,5,0.464,18.1,,0.237
Louisiana-Monroe,32,18,14,0.563,-9.56,-6.01,11,7,14,0,2,13,2305,2317,,,,0.328,0.426,0.532,49.2,52.4,,3.1,0.498,17.5,,0.234
Louisiana State,32,17,15,0.531,12.75,7.44,5,11,14,4,1,9,2177,2007,,,,0.322,0.291,0.532,54,55.6,,8.6,0.5,18.1,,0.227
Louisiana Tech,30,10,20,0.333,-4.66,0.64,7,9,7,4,3,14,1922,2081,,,,0.275,0.293,0.474,51.2,48.8,,6.2,0.45,17.6,,0.172
Louisville NCAA,34,24,10,0.706,16.08,7.69,12,4,16,4,6,2,2433,2144,,,,0.374,0.386,0.531,51.4,58.6,,8.1,0.498,15.9,,0.253
Loyola (IL),32,21,11,0.656,4.31,0.78,10,6,12,4,6,6,2237,2075,,,,0.417,0.291,0.546,52.7,48.4,,6.4,0.502,17,,0.304
Loyola Marymount,31,13,18,0.419,-5.68,1.8,5,9,8,5,4,12,2030,2228,,,,0.336,0.259,0.483,49.4,63.3,,3.4,0.445,19.5,,0.23
Loyola (MD),31,18,13,0.581,-3.77,-5.44,12,6,8,4,9,7,2213,2148,,,,0.386,0.365,0.566,49.7,57.3,,6.2,0.533,18.4,,0.274
Maine,30,12,18,0.4,-10.54,-5.25,7,9,5,6,7,9,1961,2025,,,,0.303,0.348,0.509,48.7,51.1,,5.9,0.48,17.1,,0.203
Manhattan,30,13,17,0.433,-8.12,-4.78,10,8,7,7,6,9,1978,2076,,,,0.379,0.258,0.503,50.2,47.4,,7,0.46,17.9,,0.268
Marist,34,25,9,0.735,1.65,-4.29,14,4,13,1,9,6,2548,2337,,,,0.342,0.446,0.556,52.4,57.9,,3.9,0.53,16.1,,0.233
Marquette NCAA,34,24,10,0.706,14.14,6.95,10,6,16,4,6,4,2443,2207,,,,0.401,0.334,0.526,52.4,55.8,,6.4,0.492,17.6,,0.269
