,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Ball State,33,16,17,0.485,3.72,1.54,6,12,7,7,8,7,2478,2362,,1340,889,1892,0.47,202,621,0.325,498,709,0.702,308,1243,426,217,119,480,580
Baylor NCAA,32,19,13,0.594,12.84,8.37,10,8,13,5,5,6,2293,2150,,1285,816,1853,0.44,254,748,0.34,407,604,0.674,428,1222,443,196,152,424,599
Belmont NCAA,32,27,5,0.844,8.98,-3.19,16,2,13,1,12,3,2791,2360,,1290,1015,2029,0.5,334,893,0.374,427,578,0.739,277,1238,631,218,121,371,493
Bethune-Cookman,31,14,17,0.452,-11.84,-9.6,9,7,11,4,3,12,2290,2245,,1250,833,1899,0.439,204,635,0.321,420,689,0.61,415,1273,443,234,108,501,610
Binghamton,33,10,23,0.303,-13.72,-4.49,5,11,5,11,5,12,2152,2376,,1320,793,1842,0.431,275,788,0.349,291,452,0.644,244,1060,324,183,152,409,474
Boise State,33,13,20,0.394,3.86,1.33,7,11,8,7,3,10,2364,2263,,1330,845,1801,0.469,252,715,0.352,422,584,0.723,242,1016,398,200,68,379,569
Boston College,31,14,17,0.452,6.47,8.41,5,13,10,8,2,8,2196,2256,,1260,768,1808,0.425,218,687,0.317,442,633,0.698,331,1137,382,159,103,378,509
Boston University,33,15,18,0.455,-6.42,-5.2,7,11,7,7,8,10,2385,2387,,1325,922,1922,0.48,221,639,0.346,320,468,0.684,311,1091,447,199,73,425,578
Bowling Green State,34,22,12,0.647,4.53,1.15,12,6,14,2,5,8,2668,2496,,1370,945,2134,0.443,272,762,0.357,506,755,0.67,408,1396,427,227,90,412,595
Bradley NCAA,34,20,14,0.588,-0.29,-1.47,9,9,10,6,5,8,2264,2209,,1365,790,1822,0.434,231,632,0.366,453,654,0.693,311,1169,410,183,128,430,595
Brigham Young,32,19,13,0.594,6.39,3.54,11,5,13,3,5,8,2527,2436,,1295,878,1877,0.468,226,684,0.33,545,750,0.727,263,1116,482,203,107,354,626
Brown,30,19,11,0.633,-0.17,-3.49,7,7,12,3,7,8,2209,2045,,1210,759,1714,0.443,231,685,0.337,460,649,0.709,255,1099,385,229,114,427,565
Bryant,30,10,20,0.333,-14.88,-7.34,7,11,8,6,2,13,2088,2314,,1200,709,1680,0.422,230,708,0.325,440,618,0.712,285,969,319,158,79,383,575
Bucknell,33,21,12,0.636,0.75,-2.77,13,5,12,3,7,8,2534,2418,,1325,867,1928,0.45,311,885,0.351,489,653,0.749,286,1154,519,173,116,409,627
Buffalo NCAA,34,31,3,0.912,15.99,2.17,16,2,14,0,12,3,2888,2398,,1365,1033,2232,0.463,325,968,0.336,497,719,0.691,428,1395,573,249,138,402,617
